时间(ms),颗粒温度(K),火焰温度(K),颗粒半径(um),氧化层厚度(um),火焰半径(um),Mg质量(ug),MgO质量(ug),碳质量(ug),对流换热(W),辐射换热(W),反应热(W),表面反应热(W),总热量(W)
6.4,923,NaN,20.1550009103302,1.0000017855117,NaN,5.12252719242253e-05,1.7723225202545e-05,3.15074370174985e-12,0.0046135763995126,0.00124957527643983,2.05452118229264e-07,2.05452118229264e-07,0.00586335712807066
6.5,923,NaN,20.1550011059904,1.00000216927749,NaN,5.12252705538703e-05,1.77232274749493e-05,3.82794321149849e-12,0.00461357644430016,0.00124957530070102,2.27478932878332e-07,2.27478932878332e-07,0.00586337922393406
6.6,923,NaN,20.1550013215818,1.00000259213614,NaN,5.12252690439221e-05,1.77232299788354e-05,4.57412660975313e-12,0.00461357649365006,0.00124957532743361,2.50651396100834e-07,2.50651396100834e-07,0.00586340247247977
6.7,923,NaN,20.1550015581053,1.00000305605089,NaN,5.12252673873703e-05,1.77232327258283e-05,5.39275830959853e-12,0.00461357654779143,0.00124957535676171,2.74987595532099e-07,2.74987595532099e-07,0.00586342689214868
6.8,923,NaN,20.1550018165775,1.00000356301553,NaN,5.12252655770956e-05,1.77232357277339e-05,6.2873565644099e-12,0.00461357660695696,0.00124957538881137,3.00505616661972e-07,3.00505616661972e-07,0.00586345250138499
6.9,923,NaN,20.1550020980304,1.00000411505434,NaN,5.12252636058694e-05,1.77232389965387e-05,7.26149346785294e-12,0.00461357667138288,0.00124957542371057,3.27223542834788e-07,3.27223542834788e-07,0.00586347931863628
7,923,NaN,20.1550024035117,1.00000471422214,NaN,5.12252614663546e-05,1.77232425444097e-05,8.3187949538836e-12,0.004613576741309,0.00124957546158919,3.55159461685888e-07,3.55159461685888e-07,0.00586350736235988
7.1,925.822355011085,NaN,20.1550027340844,1.00000536260423,NaN,5.12252591511048e-05,1.77232463836949e-05,9.46294079674858e-12,0.00459354427598112,0.00124751051786482,3.843314587051e-07,3.843314587051e-07,0.00584143912530465
7.2,931.928920335818,NaN,20.1550030908275,1.00000606231643,NaN,5.12252566525649e-05,1.77232505269226e-05,1.06976646109847e-11,0.00455020111311409,0.00124297758981675,4.14757617236771e-07,4.14757617236771e-07,0.00579359346054808
7.3,938.00139166609,NaN,20.155003474835,1.00000681550508,NaN,5.12252539630708e-05,1.77232549868021e-05,1.20267538514193e-11,0.00450709994752968,0.00123838073791399,4.46456024916239e-07,4.46456024916239e-07,0.00574592714146859
