时间(ms),颗粒温度(K),火焰温度(K),颗粒半径(um),氧化层厚度(um),火焰半径(um),Mg质量(ug),MgO质量(ug),碳质量(ug),对流换热(W),辐射换热(W),反应热(W),表面反应热(W),总热量(W),Mg质量变化率(ug/s),MgO质量变化率(ug/s),C质量变化率(ug/s),Mg核半径变化率(um/s),颗粒半径变化率(um/s)
9.6,747.423049142145,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0109156903202789,0.0046685283745823,0,0,0.0155842186948612,0,0,0,0,0
9.7,751.333194527376,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0108639907953732,0.00466323971018305,0,0,0.0155272305055562,0,0,0,0,0
9.8,755.229027700779,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0108124805050046,0.00465788764238525,0,0,0.0154703681473898,0,0,0,0,0
9.9,759.11058108079,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0107611590205399,0.00465247218187368,0,0,0.0154136312024136,0,0,0,0,0
10,762.977886972997,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0107100259148382,0.00464699334781617,0,0,0.0153570192626543,0,0,0,0,0
10.1,766.83097757014,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0106590807622504,0.00464145116781798,0,0,0.0153005319300684,0,0,0,0,0
10.2,770.66988495211,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0106083231386197,0.00463584567787523,0,0,0.015244168816495,0,0,0,0,0
10.3,774.494641085945,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0105577526212813,0.00463017692232738,0,0,0.0151879295436087,0,0,0,0,0
10.4,778.305277825839,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0105073687890625,0.00462444495380875,0,0,0.0151318137428713,0,0,0,0,0
10.5,782.101826913131,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0104571712222826,0.0046186498331992,0,0,0.0150758210554818,0,0,0,0,0
10.6,785.884319976316,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0104071595027531,0.00461279162957388,0,0,0.015019951132327,0,0,0,0,0
10.7,789.652788531035,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0103573332137775,0.00460687042015219,0,0,0.0149642036339297,0,0,0,0,0
10.8,793.407263980084,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0103076919401515,0.0046008862902459,0,0,0.0149085782303974,0,0,0,0,0
10.9,797.147777613406,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0102582352681626,0.00459483933320653,0,0,0.0148530746013691,0,0,0,0,0
11,800.874360608098,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0102089627855908,0.00458872965037195,0,0,0.0147976924359627,0,0,0,0,0
11.1,804.587044028404,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0101598740817078,0.00458255735101225,0,0,0.01474243143272,0,0,0,0,0
11.2,808.285858825721,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0101109687472775,0.00457632255227493,0,0,0.0146872912995525,0,0,0,0,0
11.3,811.970835838598,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0100622463745561,0.00457002537912944,0,0,0.0146322717536856,0,0,0,0,0
11.4,815.642005792731,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0100137065572916,0.00456366596431102,0,0,0.0145773725216026,0,0,0,0,0
11.5,819.299399300969,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00996534889072421,0.00455724444826395,0,0,0.0145225933389882,0,0,0,0,0
11.6,822.943046863312,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00991717297158614,0.00455076097908422,0,0,0.0144679339506704,0,0,0,0,0
11.7,826.57297886691,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00986917839810178,0.00454421571246164,0,0,0.0144133941105634,0,0,0,0,0
11.8,830.189225586063,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00982136476998755,0.0045376088116213,0,0,0.0143589735816088,0,0,0,0,0
11.9,833.791817182223,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00977373168845196,0.00453094044726467,0,0,0.0143046721357166,0,0,0,0,0
12,837.380783703991,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00972627875619559,0.00452421079751006,0,0,0.0142504895537057,0,0,0,0,0
12.1,840.95615508712,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00967900557741114,0.00451742004783268,0,0,0.0141964256252438,0,0,0,0,0
12.2,844.517961154515,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00963191175778333,0.00451056839100419,0,0,0.0141424801487875,0,0,0,0,0
12.3,848.066231616228,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00958499690448903,0.00450365602703189,0,0,0.0140886529315209,0,0,0,0,0
12.4,851.600996069466,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.00953826062619714,0.0044966831630974,0,0,0.0140349437892945,0,0,0,0,0
